symbol,date,open,high,low,close,volume,ma_7,ma_14,ma_21,ma_28
ABB,2023-04-21,3147.8431231789427,3162.164971567164,3091.884652585047,3103.84423828125,267054,,,,
ABB,2023-04-24,3115.065307073754,3181.309832780285,3111.078778558855,3166.938720703125,314556,,,,
ABB,2023-04-25,3177.3726672865623,3302.380823651306,3159.704239705198,3283.77734375,690245,,,,
ABB,2023-04-26,3292.5373292509075,3353.5649269829128,3277.772587864132,3346.822265625,361730,,,,
ABB,2023-04-27,3357.0268269147787,3373.688625898687,3328.484752693969,3363.533935546875,327674,,,,
ABB,2023-04-28,3360.9700913355023,3390.793894580706,3338.294141760637,3369.7939453125,251132,,,,
ABB,2023-05-02,3371.8154887926457,3415.442048845007,3342.6324280478743,3393.6533203125,331768,3289.7662527901784,,,
ABB,2023-05-03,3394.491386366101,3430.9700913604506,3359.146382679048,3404.942138671875,359375,3332.7802385602677,,,
ABB,2023-05-04,3434.913654850056,3611.145232291057,3406.322238090397,3593.990478515625,1282221,3393.7876325334823,,,
ABB,2023-05-05,3601.5327449825736,3700.764587049454,3598.525668407625,3666.455078125,978769,3448.455880301339,,,
ABB,2023-05-08,3675.919464342605,3764.602102076668,3667.588565338401,3749.02490234375,321297,3505.913399832589,,,
ABB,2023-05-09,3761.2009537883546,3763.074329025472,3712.004093359922,3753.412353515625,395444,3561.6103166852677,,,
ABB,2023-05-10,3755.729038329426,3785.405053902005,3737.588373314885,3761.69384765625,253030,3617.596017020089,,,
ABB,2023-05-11,3761.250451939531,3815.623347120357,3751.490029353794,3806.06005859375,221052,3676.5112653459823,3483.13875906808,,
ABB,2023-05-12,3796.890770669484,3900.263627657608,3795.757069383668,3887.003173828125,404269,3745.377127511161,3539.078683035714,,
ABB,2023-05-15,3879.559387099342,3883.503030694869,3790.827406199992,3801.130126953125,227276,3774.968505859375,3584.3780691964284,,
ABB,2023-05-16,3796.7430834002607,3878.32721483401,3791.419260529664,3855.40478515625,268910,3801.9613211495534,3625.2086007254466,,
ABB,2023-05-17,3849.489258067655,3890.453905688619,3822.3767072681007,3863.686279296875,187846,3818.3415178571427,3662.127458844866,,
ABB,2023-05-18,3865.263842256655,3879.5595508940023,3835.735857728661,3842.587890625,141795,3831.080880301339,3696.3455984933034,,
ABB,2023-05-19,3835.29207545455,3869.700269468315,3791.4190405522977,3839.87646484375,154467,3842.249825613839,3729.922921316964,,
ABB,2023-05-22,3815.4755458971777,3872.510593167252,3755.827930773979,3838.3486328125,275112,3846.862479073661,3761.6868722098216,3604.3799990699404,
ABB,2023-05-23,3840.073783928255,3912.045282854043,3817.742997322743,3857.623046875,279818,3842.6653180803573,3794.021222795759,3640.2742280505954,
ABB,2023-05-24,3856.883942345007,3898.932951417653,3828.3418662186073,3836.820556640625,205631,3847.7639508928573,3811.366228376116,3672.173363095238,
ABB,2023-05-25,3830.264040633146,3901.249629030981,3827.256964095555,3886.41162109375,339853,3852.1934988839284,3827.077410016741,3700.8702334449404,
