DATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,SHARES TRADED,TURNOVER (₹ Cr)
2023-04-21,RELIANCE,1073.0637661728558,1077.7884724738815,1066.5586465106753,1072.310546875,7647317.0,820.0298674396485
2023-04-24,RELIANCE,1084.1794719407253,1086.8727319946267,1071.8539885727766,1076.4190673828125,12936186.0,1392.4757269610595
2023-04-25,RELIANCE,1080.0709122812248,1086.7357798786459,1072.9952636709509,1084.65869140625,9236126.0,1001.8044340823242
2023-04-26,RELIANCE,1086.005534613959,1089.2467445727555,1074.6159592843226,1078.290771484375,8617834.0,929.2530872384277
2023-04-27,RELIANCE,1084.1794457664448,1088.2878596252956,1079.1579437194785,1085.115234375,9167125.0,994.7386992919921
2023-04-28,RELIANCE,1087.3748753991613,1106.5021527689444,1087.2607695641375,1104.949951171875,15565210.0,1719.8778029479981
2023-05-02,RELIANCE,1112.1170391794083,1116.4994278601828,1108.4194062766874,1114.3310546875,12981805.0,1446.602845739746
2023-05-03,RELIANCE,1116.1340858641377,1116.1340858641377,1101.549066588438,1104.767333984375,7061872.0,780.1725502378906
2023-05-04,RELIANCE,1105.2467632974385,1119.717677582049,1102.2567073883076,1117.503662109375,8635233.0,964.9904500667725
2023-05-05,RELIANCE,1114.3081951915199,1123.5978590907398,1112.0257162588239,1114.6505126953125,8746585.0,974.938545458313
2023-05-08,RELIANCE,1118.4167001177036,1133.7778823916174,1115.746261129747,1128.4140625,9153782.0,1032.9256333859375
2023-05-09,RELIANCE,1129.8290394334551,1135.2158009724574,1124.4652198090143,1131.9061279296875,6464721.0,731.7457315255738
2023-05-10,RELIANCE,1136.6766978121202,1141.173192717246,1132.659447469911,1139.6895751953125,10872255.0,1239.0995682365112
2023-05-11,RELIANCE,1140.762158669685,1145.5781493917782,1130.5365853892238,1132.24853515625,10557860.0,1195.4121519384767
2023-05-12,RELIANCE,1127.455243721531,1135.4896227195354,1121.3838473257679,1134.0972900390625,6955341.0,788.8033379397583
2023-05-15,RELIANCE,1136.6310244600713,1143.318592964205,1128.9846046154787,1136.334228515625,6833343.0,776.4961546087646
2023-05-16,RELIANCE,1138.5024831085086,1141.058816015231,1118.4850597805391,1120.1513671875,8717229.0,976.4615982436524
2023-05-17,RELIANCE,1124.3511508366894,1125.2641183192468,1108.830341392445,1113.5322265625,8798967.0,979.7933314959961
2023-05-18,RELIANCE,1118.2112689036005,1121.6122266625744,1107.9856952056505,1111.1356201171875,10525531.0,1169.529241474768
2023-05-19,RELIANCE,1111.1357155261294,1116.5679991928369,1104.1968724046772,1114.741943359375,8050447.0,897.4170933691651
2023-05-22,RELIANCE,1111.5691808774143,1125.720598669704,1110.3595382742935,1120.6990966796875,7434906.0,833.2292438098389
2023-05-23,RELIANCE,1123.2783175836105,1126.6335119735163,1119.0784985578177,1120.49365234375,6092034.0,682.6085426862305
2023-05-24,RELIANCE,1116.544972955841,1124.8075631613845,1110.8615367170432,1113.9656982421875,8112254.0,903.6772691427979
2023-05-25,RELIANCE,1111.0671339157268,1117.960213217733,1102.9186489083418,1113.828857421875,11487863.0,1279.5513319509034
2023-05-26,RELIANCE,1122.0685861761906,1145.349919313803,1118.7590340242448,1144.208740234375,12626260.0,1444.7077048471679
2023-05-29,RELIANCE,1150.8279550929283,1154.9364899661489,1144.5283465169668,1150.6453857421875,10010304.0,1151.8310107476561
2023-05-30,RELIANCE,1150.645307987406,1158.451475420254,1147.7921790871794,1150.3486328125,11342504.0,1304.7833969070311
2023-05-31,RELIANCE,1141.2416143873527,1145.7381091276332,1123.4382047768395,1127.5009765625,27107927.0,3056.421416508496
2023-06-01,RELIANCE,1132.1800927726736,1134.3484659204855,1122.068625138698,1124.4652099609375,14592692.0,1640.8974473675294
2023-06-02,RELIANCE,1128.003101699598,1133.412563645759,1118.8731857024297,1120.7904052734375,15800644.0,1770.9210192341309
2023-06-05,RELIANCE,1126.268543700321,1133.8235582589482,1122.274114564264,1130.8563232421875,10908682.0,1233.6152017938232
2023-06-06,RELIANCE,1133.6865172838243,1135.6265579862757,1123.8946668621782,1131.8148193359375,7493309.0,848.1038172063354
2023-06-07,RELIANCE,1135.3071289198083,1141.241598708449,1128.7335456658939,1140.3970947265625,10312545.0,1176.039635723694
2023-06-08,RELIANCE,1143.9805586437908,1148.9335976883083,1137.133121023714,1141.081787109375,12071109.0,1377.412263011206
2023-06-09,RELIANCE,1144.4369244051343,1145.144501301207,1131.1984746215855,1133.001708984375,5877018.0,665.8671437731933
2023-06-12,RELIANCE,1130.057315904061,1136.311281503828,1125.264025708016,1134.0059814453125,6391969.0,724.8531079213012
2023-06-13,RELIANCE,1138.9591656822827,1151.946463788879,1134.9647365494955,1150.759521484375,11248016.0,1294.3761509808594
2023-06-14,RELIANCE,1150.827933567815,1166.3488637759137,1149.0019986007082,1164.910888671875,13277380.0,1546.696453503418
2023-06-15,RELIANCE,1164.888030487722,1169.7954267696327,1157.4471223513988,1165.23046875,11813494.0,1376.5443151195313
2023-06-16,RELIANCE,1168.72265257123,1178.856942021871,1168.72265257123,1176.574462890625,24171579.0,2843.966257914331
2023-06-19,RELIANCE,1179.5874324568545,1179.5874324568545,1160.7113056227922,1164.88818359375,6798554.0,791.9555220124023
2023-06-20,RELIANCE,1162.9480481347903,1170.457299404325,1157.2189687814275,1167.3074951171875,6921096.0,807.9047235225586
2023-06-21,RELIANCE,1167.2618659292657,1173.1278723617306,1163.1534517577868,1170.5943603515625,6961603.0,814.9213210806519
2023-06-22,RELIANCE,1166.8053921892115,1174.702723824018,1155.8494202932393,1157.4471435546875,7619166.0,881.8781922968994
2023-06-23,RELIANCE,1154.4343325060674,1156.4885999942844,1146.7195697742059,1147.9749755859375,6628570.0,760.9432483919678
2023-06-26,RELIANCE,1144.437098137329,1148.2716583591261,1136.0832218598148,1139.210205078125,12641159.0,1440.0937336815186
2023-06-27,RELIANCE,1139.666736088607,1145.578264166708,1135.1474200849475,1139.62109375,9689466.0,1104.2319840773437
2023-06-28,RELIANCE,1147.1760589375283,1158.519990797568,1140.2600374666351,1154.708251953125,11354006.0,1311.0564420925293
2023-06-30,RELIANCE,1162.423070452648,1167.1021346662303,1156.511421596289,1164.1805419921875,11151555.0,1298.2423343955688
2023-07-03,RELIANCE,1167.7413136446191,1196.934300105854,1166.5087289327182,1194.058349609375,12154387.0,1451.3047281733643
2023-07-04,RELIANCE,1198.3037415268395,1198.3037415268395,1174.6799673322103,1181.7557373046875,8061643.0,952.6892867352173
2023-07-05,RELIANCE,1190.9997357239995,1190.9997357239995,1175.8440646341217,1179.8155517578125,10248062.0,1209.082292297827
2023-07-06,RELIANCE,1175.958111582341,1207.1824197013011,1175.958111582341,1204.5804443359375,19117987.0,2302.9153275268677
2023-07-07,RELIANCE,1202.8686056265724,1216.5406584496827,1199.6730384312104,1202.2294921875,13375267.0,1608.0140453282227
2023-07-10,RELIANCE,1227.4736968882496,1258.1046546175523,1221.1284462814795,1248.541015625,33240016.0,4150.152333603125
2023-07-11,RELIANCE,1256.6894093813987,1264.495455649915,1249.7050458386786,1262.0760498046875,20069348.0,2532.9043445995608
