consumer_selling_cd,corporate_item_cd,internet_item_dsc,score_50,score_60,score_70
426577,84410723,BUNCH MINT,0.5,0.0,0
426577,84410130,BUNCH CHIVE,1.0,1.0,0
426577,84410733,BUNCH CHIVE,1.0,1.0,0
426577,84410157,CHIVE,0.5,1.0,0
426577,84410063,MINT,0.0,0.0,0
426577,84410038,CHIVE,0.5,1.0,0
648036,84800417,COLD MELLOW MISO MOUNTAIN ZUREJXJJDY,0.0,0.0,0
648036,84800288,KIMCHI MILD,0.0,0.0,0
648036,84800164,CHEESE HOT JO KIM SAN,1.0,1.0,0
648036,84810034,CHEESE JO KIM MILD SAN,1.0,1.0,0
648036,84800119,CHEESE HOT JO KIM SAN,1.0,1.0,0
