member_id,per_date,trip_count
1001,2023-04-26,1
1001,2023-04-27,1
1001,2023-04-29,1
1001,2023-05-02,2
1001,2023-05-04,2
1001,2023-05-09,1
1001,2023-05-10,1
1001,2023-05-11,1
1001,2023-05-23,2
1001,2023-05-26,1
1001,2023-05-27,1
1001,2023-05-28,2
1001,2023-05-31,1
1001,2023-06-22,1
1001,2023-07-03,1
1001,2023-07-06,1
1001,2023-07-07,1
1001,2023-07-12,1
1001,2023-07-13,2
1001,2023-07-16,1
1001,2023-07-20,1
1001,2023-07-21,1
1001,2023-07-22,1
1001,2023-07-25,2
1001,2023-07-28,1
1001,2023-07-29,1
1001,2023-08-06,1
1001,2023-08-09,1
1001,2023-08-10,1
1001,2023-08-15,1
1001,2023-08-17,1
1001,2023-08-23,1
1001,2023-08-24,1
1001,2023-08-27,1
1001,2023-08-30,1
1001,2023-09-01,1
1001,2023-09-08,1
1001,2023-09-10,1
1001,2023-09-11,1
1001,2023-09-15,2
1001,2023-09-25,1
1001,2023-09-26,1
1001,2023-09-27,1
1001,2023-10-04,2
1001,2023-10-12,1
1001,2023-10-20,1
1001,2023-10-23,1
1001,2023-11-01,1
1001,2023-11-04,1
1001,2023-11-05,1
1001,2023-11-15,2
1001,2023-11-26,1
1001,2023-11-27,1
1001,2023-12-03,1
1001,2023-12-10,1
1001,2023-12-15,2
1001,2023-12-22,1
1001,2023-12-28,1
1001,2024-01-06,3
1001,2024-01-09,1
1001,2024-01-16,1
1001,2024-01-24,1
1001,2024-02-07,1
1001,2024-02-08,2
1001,2024-02-09,1
1001,2024-02-12,1
1001,2024-02-15,1
1001,2024-02-17,1
1001,2024-02-21,1
1001,2024-02-27,1
1001,2024-03-02,1
1001,2024-03-03,1
1001,2024-03-04,1
1001,2024-03-05,1
1001,2024-03-06,1
1001,2024-03-09,1
1001,2024-03-18,2
1001,2024-04-01,2
1001,2024-04-22,1
1002,2023-04-25,1
1002,2023-05-03,1
1002,2023-05-08,1
1002,2023-05-13,1
1002,2023-05-16,1
1002,2023-05-17,1
1002,2023-05-18,1
1002,2023-05-21,1
1002,2023-05-22,1
1002,2023-05-25,1
1002,2023-05-31,1
1002,2023-06-04,1
1002,2023-06-14,1
1002,2023-06-16,2
1002,2023-06-20,2
1002,2023-06-23,1
1002,2023-06-27,1
1002,2023-06-30,1
1002,2023-07-01,1
1002,2023-07-02,1
1002,2023-07-04,2
1002,2023-07-09,1
1002,2023-07-10,1
1002,2023-07-15,1
1002,2023-07-27,1
1002,2023-07-29,1
1002,2023-07-31,2
1002,2023-08-01,1
1002,2023-08-02,1
1002,2023-08-06,1
1002,2023-08-08,1
1002,2023-08-09,2
1002,2023-08-10,1
1002,2023-08-12,1
1002,2023-08-14,1
1002,2023-08-20,1
1002,2023-08-31,1
1002,2023-09-05,1
1002,2023-09-08,1
1002,2023-09-10,1
1002,2023-09-20,1
1002,2023-10-04,1
1002,2023-10-07,1
1002,2023-10-08,1
1002,2023-10-14,1
1002,2023-10-22,1
1002,2023-10-31,1
1002,2023-11-02,1
1002,2023-11-04,1
1002,2023-11-08,1
1002,2023-11-11,1
1002,2023-11-17,1
1002,2023-11-26,1
1002,2023-12-03,1
1002,2023-12-04,1
1002,2023-12-08,3
1002,2023-12-12,1
1002,2023-12-17,1
1002,2023-12-21,1
1002,2023-12-25,2
1002,2023-12-26,2
1002,2023-12-29,2
1002,2024-01-09,1
1002,2024-01-12,1
1002,2024-01-13,1
1002,2024-01-20,1
1002,2024-01-24,1
1002,2024-01-26,1
1002,2024-01-28,2
1002,2024-01-29,1
1002,2024-01-30,1
1002,2024-02-05,1
1002,2024-02-11,1
1002,2024-02-12,1
