product_id,description,category,year,month,monthly_sale,avg_monthly_Sale,seasonality_index
1,Biscuits,Baked goods,2021,3,2946.0,4292.0,0.7
1,Biscuits,Baked goods,2021,4,5211.0,4292.0,1.2
1,Biscuits,Baked goods,2021,5,3850.5,4292.0,0.9
1,Biscuits,Baked goods,2021,6,4627.5,4292.0,1.1
1,Biscuits,Baked goods,2021,7,2601.0,4292.0,0.6
1,Biscuits,Baked goods,2021,8,4686.0,4292.0,1.1
1,Biscuits,Baked goods,2021,9,4363.5,4292.0,1.0
1,Biscuits,Baked goods,2021,10,6028.5,4292.0,1.4
1,Biscuits,Baked goods,2021,11,3843.0,4292.0,0.9
1,Biscuits,Baked goods,2021,12,4758.0,4292.0,1.1
1,Biscuits,Baked goods,2022,1,3831.0,4347.0,0.9
1,Biscuits,Baked goods,2022,2,2389.5,4347.0,0.5
1,Biscuits,Baked goods,2022,3,4800.0,4347.0,1.1
1,Biscuits,Baked goods,2022,4,2658.0,4347.0,0.6
1,Biscuits,Baked goods,2022,5,3796.5,4347.0,0.9
1,Biscuits,Baked goods,2022,6,4447.5,4347.0,1.0
1,Biscuits,Baked goods,2022,7,3603.0,4347.0,0.8
1,Biscuits,Baked goods,2022,8,5418.0,4347.0,1.2
1,Biscuits,Baked goods,2022,9,5014.5,4347.0,1.2
1,Biscuits,Baked goods,2022,10,5302.5,4347.0,1.2
1,Biscuits,Baked goods,2022,11,6492.0,4347.0,1.5
1,Biscuits,Baked goods,2022,12,4414.5,4347.0,1.0
1,Biscuits,Baked goods,2023,1,3211.5,3845.0,0.8
1,Biscuits,Baked goods,2023,2,4489.5,3845.0,1.2
1,Biscuits,Baked goods,2023,3,6984.0,3845.0,1.8
1,Biscuits,Baked goods,2023,4,3261.0,3845.0,0.8
1,Biscuits,Baked goods,2023,5,6138.0,3845.0,1.6
1,Biscuits,Baked goods,2023,6,1846.5,3845.0,0.5
1,Biscuits,Baked goods,2023,7,3091.5,3845.0,0.8
1,Biscuits,Baked goods,2023,8,4354.5,3845.0,1.1
1,Biscuits,Baked goods,2023,9,2526.0,3845.0,0.7
1,Biscuits,Baked goods,2023,10,3874.5,3845.0,1.0
1,Biscuits,Baked goods,2023,11,1762.5,3845.0,0.5
1,Biscuits,Baked goods,2023,12,4605.0,3845.0,1.2
1,Biscuits,Baked goods,2024,1,3136.5,2014.0,1.6
1,Biscuits,Baked goods,2024,2,3088.5,2014.0,1.5
1,Biscuits,Baked goods,2024,3,1755.0,2014.0,0.9
1,Biscuits,Baked goods,2024,4,78.0,2014.0,0.0
2,Bread,Baked goods,2021,3,1807.5,3875.0,0.5
2,Bread,Baked goods,2021,4,3848.75,3875.0,1.0
2,Bread,Baked goods,2021,5,3787.5,3875.0,1.0
2,Bread,Baked goods,2021,6,3611.25,3875.0,0.9
2,Bread,Baked goods,2021,7,6883.75,3875.0,1.8
2,Bread,Baked goods,2021,8,3592.5,3875.0,0.9
2,Bread,Baked goods,2021,9,4890.0,3875.0,1.3
2,Bread,Baked goods,2021,10,1971.25,3875.0,0.5
2,Bread,Baked goods,2021,11,4408.75,3875.0,1.1
2,Bread,Baked goods,2021,12,3947.5,3875.0,1.0
2,Bread,Baked goods,2022,1,3417.5,3640.0,0.9
2,Bread,Baked goods,2022,2,3017.5,3640.0,0.8
2,Bread,Baked goods,2022,3,4271.25,3640.0,1.2
2,Bread,Baked goods,2022,4,4210.0,3640.0,1.2
2,Bread,Baked goods,2022,5,3855.0,3640.0,1.1
2,Bread,Baked goods,2022,6,3388.75,3640.0,0.9
2,Bread,Baked goods,2022,7,4286.25,3640.0,1.2
2,Bread,Baked goods,2022,8,4281.25,3640.0,1.2
2,Bread,Baked goods,2022,9,3135.0,3640.0,0.9
2,Bread,Baked goods,2022,10,3598.75,3640.0,1.0
2,Bread,Baked goods,2022,11,4022.5,3640.0,1.1
2,Bread,Baked goods,2022,12,2201.25,3640.0,0.6
2,Bread,Baked goods,2023,1,4635.0,3014.0,1.5
2,Bread,Baked goods,2023,2,2733.75,3014.0,0.9
2,Bread,Baked goods,2023,3,1910.0,3014.0,0.6
2,Bread,Baked goods,2023,4,2306.25,3014.0,0.8
2,Bread,Baked goods,2023,5,3531.25,3014.0,1.2
2,Bread,Baked goods,2023,6,2720.0,3014.0,0.9
2,Bread,Baked goods,2023,7,3172.5,3014.0,1.1
2,Bread,Baked goods,2023,8,1526.25,3014.0,0.5
2,Bread,Baked goods,2023,9,2315.0,3014.0,0.8
2,Bread,Baked goods,2023,10,3708.75,3014.0,1.2
2,Bread,Baked goods,2023,11,2338.75,3014.0,0.8
2,Bread,Baked goods,2023,12,5270.0,3014.0,1.7
2,Bread,Baked goods,2024,1,2497.5,2131.0,1.2
2,Bread,Baked goods,2024,2,3833.75,2131.0,1.8
2,Bread,Baked goods,2024,3,2152.5,2131.0,1.0
2,Bread,Baked goods,2024,4,40.0,2131.0,0.0
3,Cheeslings,Baked goods,2021,3,3018.4000158309937,6856.0,0.4
3,Cheeslings,Baked goods,2021,4,7766.499960660934,6856.0,1.1
3,Cheeslings,Baked goods,2021,5,6073.549999713898,6856.0,0.9
3,Cheeslings,Baked goods,2021,6,6369.99995303154,6856.0,0.9
3,Cheeslings,Baked goods,2021,7,7690.550006151199,6856.0,1.1
3,Cheeslings,Baked goods,2021,8,4988.199984788895,6856.0,0.7
3,Cheeslings,Baked goods,2021,9,8489.249956846237,6856.0,1.2
3,Cheeslings,Baked goods,2021,10,5732.999975442886,6856.0,0.8
3,Cheeslings,Baked goods,2021,11,8124.1999707221985,6856.0,1.2
3,Cheeslings,Baked goods,2021,12,10304.700028419495,6856.0,1.5
3,Cheeslings,Baked goods,2022,1,6423.899970769882,6705.0,1.0
3,Cheeslings,Baked goods,2022,2,1504.2999856472015,6705.0,0.2
3,Cheeslings,Baked goods,2022,3,11671.799957990646,6705.0,1.7
3,Cheeslings,Baked goods,2022,4,7719.950011253357,6705.0,1.2
3,Cheeslings,Baked goods,2022,5,6833.049951076508,6705.0,1.0
3,Cheeslings,Baked goods,2022,6,3601.4999537467957,6705.0,0.5
3,Cheeslings,Baked goods,2022,7,8567.649995088577,6705.0,1.3
3,Cheeslings,Baked goods,2022,8,4718.700028419495,6705.0,0.7
3,Cheeslings,Baked goods,2022,9,7048.649982452393,6705.0,1.1
3,Cheeslings,Baked goods,2022,10,6512.1000237464905,6705.0,1.0
3,Cheeslings,Baked goods,2022,11,8312.84999537468,6705.0,1.2
3,Cheeslings,Baked goods,2022,12,7550.899983167648,6705.0,1.1
3,Cheeslings,Baked goods,2023,1,7759.150042295456,7119.0,1.1
3,Cheeslings,Baked goods,2023,2,5965.749961853027,7119.0,0.8
3,Cheeslings,Baked goods,2023,3,8849.399963617325,7119.0,1.2
